"Date","Price","Open","High","Low","Change %"
"May 12, 2019","1.3002","1.3001","1.3015","1.2990","0.02%"
"May 10, 2019","1.3000","1.3008","1.3049","1.2991","-0.12%"
"May 09, 2019","1.3015","1.3008","1.3037","1.2969","0.05%"
"May 08, 2019","1.3009","1.3077","1.3082","1.2988","-0.50%"
"May 07, 2019","1.3075","1.3096","1.3134","1.3038","-0.17%"
"May 06, 2019","1.3097","1.3114","1.3172","1.3081","-0.40%"
"May 05, 2019","1.3150","1.3105","1.3185","1.3105","-0.18%"
"May 03, 2019","1.3174","1.3034","1.3178","1.2991","1.07%"
"May 02, 2019","1.3035","1.3050","1.3082","1.3017","-0.11%"
"May 01, 2019","1.3050","1.3032","1.3101","1.3028","0.12%"
"Apr 30, 2019","1.3034","1.2939","1.3051","1.2925","0.75%"
"Apr 29, 2019","1.2937","1.2927","1.2948","1.2904","0.14%"
"Apr 28, 2019","1.2919","1.2926","1.2937","1.2916","0.00%"
"Apr 26, 2019","1.2919","1.2899","1.2946","1.2876","0.16%"
"Apr 25, 2019","1.2899","1.2900","1.2919","1.2865","-0.02%"
"Apr 24, 2019","1.2902","1.2938","1.2966","1.2889","-0.28%"
"Apr 23, 2019","1.2938","1.2981","1.3019","1.2927","-0.36%"
"Apr 22, 2019","1.2985","1.2996","1.3001","1.2975","-0.06%"
"Apr 21, 2019","1.2993","1.2995","1.3000","1.2987","0.00%"
"Apr 19, 2019","1.2993","1.3001","1.3017","1.2985","-0.04%"
"Apr 18, 2019","1.2998","1.3042","1.3055","1.2979","-0.37%"
"Apr 17, 2019","1.3046","1.3050","1.3071","1.3030","-0.02%"
"Apr 16, 2019","1.3049","1.3102","1.3112","1.3041","-0.38%"
"Apr 15, 2019","1.3099","1.3077","1.3121","1.3066","0.12%"
"Apr 14, 2019","1.3083","1.3076","1.3089","1.3065","0.00%"
"Apr 12, 2019","1.3083","1.3061","1.3135","1.3051","0.21%"
"Apr 11, 2019","1.3056","1.3092","1.3110","1.3051","-0.27%"
"Apr 10, 2019","1.3092","1.3057","1.3122","1.3043","0.23%"
"Apr 09, 2019","1.3062","1.3066","1.3123","1.3031","-0.02%"
"Apr 08, 2019","1.3064","1.3036","1.3076","1.3021","0.20%"
"Apr 07, 2019","1.3039","1.3036","1.3041","1.3024","0.01%"
"Apr 05, 2019","1.3037","1.3078","1.3123","1.2987","-0.31%"
"Apr 04, 2019","1.3078","1.3160","1.3191","1.3059","-0.63%"
"Apr 03, 2019","1.3161","1.3128","1.3198","1.3121","0.24%"
"Apr 02, 2019","1.3129","1.3102","1.3151","1.3013","0.21%"
"Apr 01, 2019","1.3101","1.3038","1.3151","1.3009","0.61%"
"Mar 31, 2019","1.3022","1.3035","1.3052","1.3017","-0.09%"
"Mar 29, 2019","1.3033","1.3045","1.3136","1.2978","-0.08%"
"Mar 28, 2019","1.3044","1.3188","1.3216","1.3033","-1.12%"
"Mar 27, 2019","1.3192","1.3209","1.3272","1.3166","-0.13%"
"Mar 26, 2019","1.3209","1.3194","1.3263","1.3157","0.04%"
"Mar 25, 2019","1.3204","1.3208","1.3248","1.3160","-0.01%"
"Mar 24, 2019","1.3205","1.3217","1.3234","1.3190","-0.05%"
"Mar 22, 2019","1.3212","1.3109","1.3225","1.3081","0.79%"
"Mar 21, 2019","1.3109","1.3196","1.3230","1.3005","-0.67%"
"Mar 20, 2019","1.3197","1.3268","1.3281","1.3144","-0.54%"
"Mar 19, 2019","1.3269","1.3256","1.3312","1.3240","0.09%"
"Mar 18, 2019","1.3257","1.3288","1.3303","1.3183","-0.30%"
"Mar 17, 2019","1.3297","1.3298","1.3303","1.3281","0.04%"
"Mar 15, 2019","1.3291","1.3240","1.3302","1.3202","0.38%"
"Mar 14, 2019","1.3241","1.3341","1.3341","1.3209","-0.73%"
"Mar 13, 2019","1.3339","1.3076","1.3385","1.3059","2.02%"
"Mar 12, 2019","1.3075","1.3149","1.3290","1.3005","-0.59%"
"Mar 11, 2019","1.3153","1.3018","1.3172","1.2949","1.29%"
"Mar 10, 2019","1.2986","1.3017","1.3023","1.2948","-0.24%"
"Mar 08, 2019","1.3017","1.3086","1.3111","1.2991","-0.52%"
